0.379,0.379,0.379
0.2721,0.4535,0.63491
0,0,0
0.00099436,0.001621,0.0021944
0.0019886,0.0032418,0.0043886
0.0029827,0.0048623,0.0065823
0.0039765,0.0064823,0.0087754
0.0049698,0.0081016,0.010968
0.0059627,0.0097202,0.013159
0.006955,0.011338,0.015348
0.0079466,0.012954,0.017537
0.0089373,0.014569,0.019723
0.0099272,0.016183,0.021908
0.010916,0.017795,0.02409
0.011904,0.019405,0.02627
0.012891,0.021014,0.028447
0.013876,0.02262,0.030622
0.01486,0.024224,0.032793
0.015842,0.025826,0.034961
0.016823,0.027424,0.037126
0.017802,0.029021,0.039287
0.01878,0.030614,0.041444
0.019755,0.032204,0.043597
0.020729,0.033791,0.045745
0.0217,0.035375,0.047889
0.02267,0.036955,0.050028
0.023637,0.038532,0.052162
0.024601,0.040104,0.054291
0.025564,0.041673,0.056414
0.026523,0.043237,0.058532
0.02748,0.044797,0.060644
0.028435,0.046353,0.06275
0.029386,0.047904,0.06485
0.030334,0.04945,0.066943
0.03128,0.050991,0.069029
0.032222,0.052527,0.071109
0.033161,0.054058,0.073181
0.034097,0.055584,0.075246
0.035029,0.057104,0.077304
0.035958,0.058618,0.079354
0.036884,0.060126,0.081396
0.037805,0.061629,0.08343
0.038723,0.063125,0.085455
0.039637,0.064615,0.087472
0.040547,0.066098,0.08948
0.041453,0.067575,0.091479
0.042355,0.069045,0.093469
0.043252,0.070508,0.09545
0.044145,0.071964,0.097421
0.045034,0.073413,0.099383
0.045918,0.074855,0.10133
0.046798,0.076289,0.10328
0.047673,0.077715,0.10521
0.048543,0.079134,0.10713
0.049409,0.080544,0.10904
0.050269,0.081947,0.11094
0.051125,0.083342,0.11282
0.051975,0.084728,0.1147
0.05282,0.086105,0.11657
0.05366,0.087474,0.11842
0.054494,0.088835,0.12026
0.055323,0.090186,0.12209
0.056147,0.091529,0.12391
0.056965,0.092862,0.12571
0.057777,0.094186,0.1275
0.058583,0.095501,0.12928
0.059384,0.096806,0.13105
0.060179,0.098101,0.1328
0.060967,0.099386,0.13454
0.06175,0.10066,0.13627
0.062526,0.10193,0.13798
0.063296,0.10318,0.13968
0.06406,0.10443,0.14137
0.064817,0.10566,0.14304
0.065568,0.10689,0.1447
0.066312,0.1081,0.14634
0.06705,0.1093,0.14797
0.067781,0.11049,0.14958
0.068505,0.11167,0.15118
0.069222,0.11284,0.15276
0.069933,0.114,0.15433
0.070636,0.11515,0.15588
0.071332,0.11628,0.15742
0.072022,0.11741,0.15894
0.072704,0.11852,0.16044
0.073378,0.11962,0.16193
0.074046,0.12071,0.16341
0.074706,0.12178,0.16486
0.075358,0.12285,0.1663
0.076003,0.1239,0.16773
0.076641,0.12494,0.16913
0.07727,0.12596,0.17052
0.077892,0.12698,0.1719
0.078507,0.12798,0.17325
0.079113,0.12897,0.17459
0.079711,0.12994,0.17591
0.080302,0.13091,0.17721
0.080884,0.13185,0.1785
0.081459,0.13279,0.17977
0.082025,0.13371,0.18102
0.082583,0.13462,0.18225
0.083133,0.13552,0.18346
0.083674,0.1364,0.18465
