0,0.09475,0.1895,0.28425,0,0.09475,0.1895,0.28425,0,0.09475,0.1895,0.28425
0.2721,0.2721,0.2721,0.2721,0.4535,0.4535,0.4535,0.4535,0.63491,0.63491,0.63491,0.63491
0,0,0,0,0,0,0,0,0,0,0,0
0,0.00025426,0.00050624,0.00075368,0,0.00041449,0.00082526,0.0012286,0,0.00056111,0.0011172,0.0016633
0,0.0005085,0.0010124,0.0015073,0,0.00082894,0.0016504,0.0024571,0,0.0011222,0.0022343,0.0033263
0,0.00076269,0.0015185,0.0022608,0,0.0012433,0.0024755,0.0036854,0,0.0016831,0.0033511,0.0049891
0,0.0010168,0.0020245,0.003014,0,0.0016575,0.0033002,0.0049133,0,0.0022439,0.0044677,0.0066514
0,0.0012708,0.0025302,0.0037669,0,0.0020716,0.0041247,0.0061407,0,0.0028045,0.0055837,0.0083129
0,0.0015247,0.0030357,0.0045195,0,0.0024855,0.0049487,0.0073675,0,0.0033647,0.0066993,0.0099737
0,0.0017784,0.0035409,0.0052716,0,0.0028991,0.0057722,0.0085935,0,0.0039247,0.0078141,0.011633
0,0.002032,0.0040457,0.0060231,0,0.0033124,0.0065952,0.0098187,0,0.0044842,0.0089282,0.013292
0,0.0022853,0.0045501,0.0067741,0,0.0037254,0.0074175,0.011043,0,0.0050433,0.010041,0.014949
0,0.0025384,0.0050541,0.0075244,0,0.0041381,0.008239,0.012266,0,0.0056019,0.011154,0.016605
0,0.0027913,0.0055576,0.008274,0,0.0045503,0.0090597,0.013488,0,0.0061599,0.012265,0.018259
0,0.0030439,0.0060605,0.0090227,0,0.004962,0.0098795,0.014708,0,0.0067173,0.013374,0.019912
0,0.0032962,0.0065628,0.0097705,0,0.0053733,0.010698,0.015927,0,0.0072741,0.014483,0.021562
0,0.0035481,0.0070644,0.010517,0,0.005784,0.011516,0.017145,0,0.0078301,0.01559,0.02321
0,0.0037997,0.0075653,0.011263,0,0.0061942,0.012333,0.018361,0,0.0083853,0.016695,0.024856
0,0.0040509,0.0080655,0.012008,0,0.0066037,0.013148,0.019575,0,0.0089397,0.017799,0.026499
0,0.0043017,0.0085649,0.012751,0,0.0070126,0.013962,0.020787,0,0.0094932,0.018901,0.02814
0,0.0045521,0.0090634,0.013493,0,0.0074207,0.014775,0.021996,0,0.010046,0.020001,0.029778
0,0.0048021,0.009561,0.014234,0,0.0078281,0.015586,0.023204,0,0.010597,0.0211,0.031413
0,0.0050515,0.010058,0.014974,0,0.0082348,0.016396,0.024409,0,0.011148,0.022196,0.033044
0,0.0053004,0.010553,0.015712,0,0.0086406,0.017204,0.025612,0,0.011697,0.023289,0.034673
0,0.0055489,0.011048,0.016448,0,0.0090455,0.01801,0.026813,0,0.012245,0.024381,0.036298
0,0.0057967,0.011541,0.017183,0,0.0094496,0.018814,0.02801,0,0.012792,0.02547,0.037919
0,0.006044,0.012034,0.017916,0,0.0098527,0.019617,0.029205,0,0.013338,0.026556,0.039537
0,0.0062907,0.012525,0.018647,0,0.010255,0.020418,0.030397,0,0.013882,0.02764,0.04115
0,0.0065367,0.013015,0.019376,0,0.010656,0.021216,0.031586,0,0.014425,0.028721,0.04276
0,0.0067821,0.013503,0.020103,0,0.011056,0.022013,0.032772,0,0.014967,0.0298,0.044365
0,0.0070268,0.013991,0.020829,0,0.011455,0.022807,0.033954,0,0.015507,0.030875,0.045966
0,0.0072708,0.014476,0.021552,0,0.011853,0.023599,0.035134,0,0.016045,0.031947,0.047562
0,0.0075141,0.014961,0.022273,0,0.012249,0.024389,0.036309,0,0.016582,0.033016,0.049153
0,0.0077566,0.015444,0.022992,0,0.012645,0.025176,0.037481,0,0.017118,0.034082,0.05074
0,0.0079984,0.015925,0.023709,0,0.013039,0.02596,0.038649,0,0.017651,0.035144,0.052321
0,0.0082393,0.016405,0.024423,0,0.013431,0.026742,0.039814,0,0.018183,0.036203,0.053897
0,0.0084795,0.016883,0.025135,0,0.013823,0.027522,0.040974,0,0.018713,0.037258,0.055468
0,0.0087188,0.017359,0.025844,0,0.014213,0.028298,0.04213,0,0.019241,0.038309,0.057034
0,0.0089572,0.017834,0.026551,0,0.014602,0.029072,0.043282,0,0.019767,0.039357,0.058593
0,0.0091947,0.018307,0.027255,0,0.014989,0.029843,0.04443,0,0.020291,0.0404,0.060147
0,0.0094313,0.018778,0.027956,0,0.015375,0.030611,0.045573,0,0.020813,0.04144,0.061695
0,0.0096669,0.019247,0.028655,0,0.015759,0.031376,0.046712,0,0.021333,0.042475,0.063236
0,0.0099016,0.019714,0.02935,0,0.016141,0.032138,0.047846,0,0.021851,0.043506,0.064771
0,0.010135,0.02018,0.030043,0,0.016522,0.032896,0.048975,0,0.022367,0.044533,0.0663
0,0.010368,0.020643,0.030733,0,0.016902,0.033651,0.050099,0,0.02288,0.045556,0.067822
0,0.0106,0.021104,0.031419,0,0.017279,0.034403,0.051219,0,0.023392,0.046573,0.069337
0,0.01083,0.021563,0.032103,0,0.017655,0.035152,0.052333,0,0.0239,0.047587,0.070846
0,0.01106,0.02202,0.032783,0,0.018029,0.035897,0.053442,0,0.024407,0.048595,0.072347
0,0.011288,0.022475,0.03346,0,0.018401,0.036638,0.054546,0,0.024911,0.049599,0.073841
0,0.011515,0.022927,0.034134,0,0.018772,0.037376,0.055644,0,0.025413,0.050597,0.075328
0,0.011742,0.023378,0.034804,0,0.019141,0.038109,0.056736,0,0.025912,0.051591,0.076807
0,0.011966,0.023826,0.035471,0,0.019507,0.03884,0.057823,0,0.026408,0.052579,0.078278
